clan_acc	id	previous_id	description	author	comment	created	updated
CL00001	tRNA	NULL	tRNA clan	Gardner PP	The tRNA clan contains the RNA families tRNA and tmRNA. Homology between these families has been established in the published literature [1-5].	2014-06-02 15:17:41	2014-06-02 15:18:18
CL00002	RNaseP	NULL	RNaseP clan	Gardner PP	The RNaseP clan contains the RNA families RNaseP_nuc, RNaseP_bact_a, RNaseP_bact_b, RNase_MRP and RNaseP_arch. Homology between these families has been established in the published literature [1-7].	2014-06-02 15:18:19	2014-06-02 15:18:18
CL00003	SRP	NULL	SRP clan	Gardner PP; 0000-0002-7808-1213	The SRP clan contains the RNA families for Metazoa_SRP, Bacterial_small_SRP, Bacterial_large_SRP, Fungal_SRP, Plant_SRP, Protozoa_SRP, Archaea_SRP and Dictyostelium_SRP. Homology between these families has been established in the published literature [1-8].	2014-06-02 15:18:20	2021-07-01 09:30:45
CL00004	Telomerase	NULL	Telomerase clan	Gardner PP	The Telomerase clan contains the RNA families Telomerase-vert, Telomerase-cil and Sacc_telomerase. Homology between these families has been established in the published literature [1-3].	2014-06-02 15:18:21	2014-06-02 15:18:20
CL00005	U1	NULL	U1 clan	Gardner PP	The U1 clan contains the RNA families U1, U1_yeast and U11. Homology between these families has been established in the published literature [1-4].	2014-06-02 15:18:22	2014-06-02 15:18:21
CL00006	U2	NULL	U2 clan	Gardner PP	The U2 clan contains the RNA families U2 and U12. Homology between these families has been established in the published literature [1-4].	2014-06-02 15:18:23	2014-06-02 15:18:22
CL00007	U4	NULL	U4 clan	Gardner PP	The U4 clan contains the RNA families U4 and U4atac. Homology between these families has been established in the published literature [1-5].	2014-06-02 15:18:23	2014-06-02 15:18:23
CL00008	U54	NULL	U54 clan	Gardner PP	The U54 clan contains the RNA families U54 and snoU54. The following bioinformatic methods were used to confirm the relationship between these families: HMMER3 and PRC [1,2].	2014-06-02 15:18:24	2014-06-02 15:18:23
CL00009	U6	NULL	U6 clan	Gardner PP	The U6 clan contains the RNA families U6 and U6atac. Homology between these families has been established in the published literature [1-4].	2014-06-02 15:18:25	2014-06-02 15:18:24
CL00010	Hammerhead	NULL	Hammerhead clan	Gardner PP	The Hammerhead clan contains the RNA families Hammerhead_3 and Hammerhead_1. Homology between these families has been established in the published literature [1,2].	2014-06-02 15:18:26	2014-06-02 15:18:25
